n,n-gram,frequency
2,a ,0.00320521280727621
2,sl,0.0005807091439065133
2,gh,0.0025038368282722396
2,lu,0.0004902090175834204
2,ul,0.0029601082984845
2,og,0.00022625031580773247
2,am,0.0014178353123951235
2,ak,0.0008974595860373389
2,p ,0.0014706270527502611
2,ug,0.001289626800104075
2,gg,0.00022625031580773247
2,gl,0.0005203757263577847
2,kl,0.00012066683509745732
2,pu,0.00045250063161546495
2,um,0.0005090632105673981
2,na,0.0009879597123604318
2,ca,0.00230021154404528
2,av,0.0014442311825726922
2,ok,0.0007843344281334726
2,yn,6.033341754872866e-05
2,dl,0.0007503968807623128
2,br,0.0006862926246167885
2,ld,0.0025754827616113547
2,dn,0.0005505424351321491
2, y,0.0035785258283589686
2,yo,0.0034012964143095782
2,u ,0.0021116696142055033
2,kn,0.0007202301719879484
2,au,0.0006787509474231974
2,aw,0.0005882508211001045
2,rk,0.0009728763579732497
2,wo,0.0023303782528196447
2,ep,0.0015271896317021942
2,dm,0.00024133367019491464
2,et,0.00323915035464737
2,rf,0.00029035457195325667
2,lv,0.00023379199300132357
2,ip,0.0003921672140667363
2,pp,0.0011010848702642981
2,rg,0.00027527121756607453
2,tt,0.0016327731124124694
2,ye,0.0009200846176181121
2,nn,0.00046381314740585156
2, j,0.0014970229229278298
2,ju,0.00046004230880905604
2,ag,0.0007692510737462904
2,mu,0.0005769383053097179
2,ec,0.001561127179073354
2,j ,0.00016591689825900383
2,bi,0.00043364643863148724
2,sm,0.00043364643863148724
2,fe,0.0010973140316675024
2,cr,0.0006221883684712643
2,wn,0.00048266734038982927
2,if,0.0013009393158944617
2,tm,0.0001546043824686172
2,gc,2.262503158077325e-05
2,eg,0.0006448134000520376
2,lr,9.0500126323093e-05
2,wt,2.639587017756879e-05
2,iz,0.000181000252646186
2,za,3.016670877436433e-05
2,eq,7.918761053270637e-05
2,tn,0.00011312515790386624
2,go,0.0015648980176701497
2,nv,0.00027904205616287005
2,hu,0.0003469171509051898
2,rv,0.00017722941404939044
2,eh,0.00026018786317889234
2,cq,2.639587017756879e-05
2,sk,0.0006712092702296064
2,oh,0.0010218972597315916
2,hn,0.0007051468176007662
2,hy,0.0005166048877609891
2,yy,1.5083354387182165e-05
2,hr,0.0003770838596795541
2,nu,0.000320521280727621
2,sf,0.00012066683509745732
2,oy,0.0004261047614378962
2,rw,0.000181000252646186
2,cy,4.147922456475096e-05
2,c ,0.00011689599650066178
2,ga,0.0009012304246341344
2,lt,0.0009050012632309299
2,ui,0.0004298756000346917
2,xt,0.000181000252646186
2,df,0.00011689599650066178
2,hd,2.639587017756879e-05
2,ae,0.0001093543193070707
2,tw,0.0005618549509225357
2,tl,0.000912542940424521
2,ym,0.0001093543193070707
2,tz,3.770838596795541e-06
2,z ,3.770838596795541e-06
2,ba,0.0007503968807623128
2,dg,0.00011689599650066178
2,ik,0.00046381314740585156
2,tb,7.541677193591083e-05
2,oi,0.000724001010584744
2,mr,0.0006561259158424242
2,gt,0.0001998544456301637
2,eu,0.00016968773685579935
2,xp,0.0003770838596795541
2,sw,0.0003469171509051898
2,wr,0.0002828128947596656
2,cu,0.0003695421824859631
2,hm,4.902090175834204e-05
2,sy,0.0006297300456648554
2,sn,0.0004072505684539185
2,mh,7.541677193591082e-06
2,ub,0.00018854192983977706
2,bd,3.770838596795541e-06
2,py,9.427096491988853e-05
2,my,0.00041479224564750953
2,yt,0.0005128340491641936
2,vo,0.00023756283159811912
2,ya,0.00015837522106541273
2,bs,0.00014706270527502612
2,rb,9.0500126323093e-05
2,ny,0.0010294389369251828
2,yf,5.656257895193312e-05
2,ix,6.787509474231974e-05
2,x ,9.427096491988853e-05
2,ja,7.918761053270637e-05
2,td,7.541677193591083e-05
2,iu,2.262503158077325e-05
2,db,0.00011312515790386624
2,uq,7.541677193591082e-06
2,ph,9.0500126323093e-05
2,ze,0.0002111669614205503
2,dh,9.804180351668408e-05
2,sj,1.1312515790386624e-05
2,nh,9.427096491988853e-05
2,rh,0.00024133367019491464
2,yc,4.52500631615465e-05
2,fh,3.770838596795542e-05
2,hl,6.033341754872866e-05
2,wp,1.1312515790386624e-05
2,rp,0.00028658373335646115
2,ob,0.0006523550772456287
2,yl,6.033341754872866e-05
2,uw,1.885419298397771e-05
2,bj,9.427096491988853e-05
2,je,0.0001546043824686172
2,nq,4.52500631615465e-05
2,tp,5.279174035513758e-05
2,oe,0.00029035457195325667
2,lh,1.885419298397771e-05
2,bt,5.279174035513758e-05
2,mn,1.885419298397771e-05
2,nw,9.427096491988853e-05
2,nr,5.656257895193312e-05
2,dd,0.00047135482459944266
2,kf,9.0500126323093e-05
2,kj,7.541677193591082e-06
2,by,0.00047889650179303375
2,tk,1.5083354387182165e-05
2,lm,0.0001734585754525949
2,ii,5.279174035513758e-05
2,dj,2.262503158077325e-05
2,ox,2.639587017756879e-05
2,xa,7.918761053270637e-05
2,mt,3.016670877436433e-05
2,mc,1.5083354387182165e-05
2,mb,0.00029789624914684776
2,ao,3.770838596795541e-06
2,ww,1.5083354387182165e-05
2,lb,3.770838596795542e-05
2,dc,2.639587017756879e-05
2,yd,0.00012443767369425286
2,tf,0.000181000252646186
2,xh,1.885419298397771e-05
2,uo,2.262503158077325e-05
2,wl,9.0500126323093e-05
2,tv,1.1312515790386624e-05
2,mf,6.033341754872866e-05
2,kt,2.639587017756879e-05
2,jw,7.541677193591082e-06
2,nj,8.672928772629745e-05
2,fw,1.885419298397771e-05
2,bb,4.147922456475096e-05
2,kw,2.262503158077325e-05
2,dw,9.0500126323093e-05
2,yr,6.787509474231974e-05
2,sr,4.147922456475096e-05
2,hs,8.672928772629745e-05
2,bv,3.770838596795541e-06
2,gf,1.885419298397771e-05
2,kg,7.541677193591082e-06
2,yp,5.656257895193312e-05
2,hb,1.1312515790386624e-05
2,ih,3.770838596795541e-06
2,kr,2.262503158077325e-05
2,wy,3.016670877436433e-05
2,fc,1.885419298397771e-05
2,ln,3.770838596795542e-05
2,gj,7.541677193591082e-06
2,lp,0.00015083354387182167
2,ej,3.393754737115987e-05
2,wf,9.427096491988853e-05
2,ka,2.262503158077325e-05
2,mg,7.541677193591082e-06
2,yg,1.5083354387182165e-05
2,tg,1.885419298397771e-05
2,aj,3.770838596795541e-06
2,oj,2.262503158077325e-05
2,wb,3.770838596795542e-05
2,hh,4.52500631615465e-05
2,wd,4.902090175834204e-05
2,iw,2.639587017756879e-05
2,dv,6.787509474231974e-05
2,v ,1.5083354387182165e-05
2,hw,2.262503158077325e-05
2,az,0.00011689599650066178
2,zy,3.393754737115987e-05
2,yh,5.656257895193312e-05
2,nx,4.52500631615465e-05
2,xi,8.295844912950191e-05
2,tj,3.770838596795541e-06
2,dk,2.262503158077325e-05
